elements	DOWN_Willis2017	UP_Willis2017	Minderjahn2020	Sive2016	Steidl2017	DeKoter2011	TIS_UP	TIS_DOWN	TIS_shPU1_DOWN	TIS_shPU1_UP	UT_shPU1_DOWN	UT_shPU1_UP
RAB32	0	0	0	1	0	0	1	0	0	0	0	0
LYZ2	0	0	0	1	0	0	1	0	0	0	0	0
DMKN	0	0	0	1	0	0	1	0	0	0	0	0
MATN2	0	0	0	1	0	0	1	0	0	0	0	0
5430435G22RIK	0	0	0	1	0	0	1	0	0	0	0	0
NPC1	0	0	0	1	0	0	1	0	0	0	0	0
RIN2	0	0	0	1	0	0	1	0	0	0	0	0
IL13RA1	0	0	0	1	0	0	1	0	0	0	0	0
CD14	0	0	0	1	0	0	1	0	0	0	0	0
MYO1B	0	0	0	1	0	0	1	0	0	0	0	0
SNX20	0	0	0	1	0	0	1	0	0	0	0	0
CCDC88A	0	0	0	1	0	0	0	1	0	0	0	0
ANP32E	0	0	0	1	0	0	0	1	0	0	0	0
DOCK10	0	0	0	1	0	0	0	0	0	0	1	0
TFEC	0	0	0	0	1	1	0	0	0	0	0	0
BIN2	0	0	0	0	1	0	1	0	0	0	0	0
ABTB1	0	0	0	0	1	0	1	0	0	0	0	0
LPP	0	0	0	0	1	0	1	0	0	0	0	0
ZC3H12A	0	0	0	0	1	0	1	0	0	0	0	0
PDPN	0	0	0	0	1	0	1	0	0	0	0	0
TSC22D1	0	0	0	0	1	0	1	0	0	0	0	0
ITM2B	0	0	0	0	1	0	1	0	0	0	0	0
POR	0	0	0	0	1	0	1	0	0	0	0	0
NNMT	0	0	0	0	1	0	1	0	0	0	0	0
CERS6	0	0	0	0	1	0	1	0	0	0	0	0
H60B	0	0	0	0	1	0	1	0	0	0	0	0
CCDC109B	0	0	0	0	1	0	1	0	0	0	0	0
CCL2	0	0	0	0	1	0	1	0	0	0	0	0
CXCL5	0	0	0	0	1	0	1	0	0	0	0	0
NRG1	0	0	0	0	1	0	1	0	0	0	0	0
DOCK11	0	0	0	0	1	0	0	1	0	0	0	0
IGSF8	0	0	0	0	1	0	0	1	0	0	0	0
MCM5	0	0	0	0	1	0	0	1	0	0	0	0
HMGCS1	0	0	0	0	1	0	0	1	0	0	0	0
RAD51B	0	0	0	0	1	0	0	1	0	0	0	0
ATG9B	0	0	0	0	1	0	0	1	0	0	0	0
XPO1	0	0	0	0	1	0	0	1	0	0	0	0
TRIM59	0	0	0	0	1	0	0	1	0	0	0	0
A830080D01RIK	0	0	0	0	1	0	0	1	0	0	0	0
ANP32B	0	0	0	0	1	0	0	1	0	0	0	0
ATP2B1	0	0	0	0	1	0	0	1	0	0	0	0
ANLN	0	0	0	0	1	0	0	1	0	0	0	0
LRTM2	0	0	0	0	1	0	0	1	0	0	0	0
PDXK	0	0	0	0	1	0	0	0	1	0	0	0
PPP1R18	0	0	0	0	1	0	0	0	1	0	0	0
ARPC1B	0	0	0	0	1	0	0	0	1	0	0	0
GCLC	0	0	0	0	1	0	0	0	0	1	0	0
RHOG	0	0	0	0	1	0	0	0	0	0	1	0
C130026I21RIK	0	0	0	0	1	0	0	0	0	0	1	0
ASPH	0	0	0	0	1	0	0	0	0	0	0	1
PPBP	0	0	0	0	0	1	1	0	0	0	0	0
EMR1	0	0	0	0	0	1	1	0	0	0	0	0
KLF4	0	0	0	0	0	1	1	0	0	0	0	0
IL1R1	0	0	0	0	0	1	1	0	0	0	0	0
TLR4	0	0	0	0	0	1	1	0	0	0	0	0
CSF1R	0	0	0	0	0	1	1	0	0	0	0	0
GPR132	0	0	0	0	0	1	1	0	0	0	0	0
CD80	0	0	0	0	0	1	1	0	0	0	0	0
JUNB	0	0	0	0	0	1	1	0	0	0	0	0
MYB	0	0	0	0	0	1	0	1	0	0	0	0
EBF1	0	0	0	0	0	1	0	1	0	0	0	0
CDK6	0	0	0	0	0	1	0	1	0	0	0	0
ITGAM	0	0	0	0	0	1	0	0	1	0	0	0
LMO2	0	0	0	0	0	1	0	0	1	0	0	0
CCL3	0	0	0	0	0	1	0	0	1	0	0	0
GM2427	0	0	0	0	0	0	1	0	1	0	0	0
MAN2B1	0	0	0	0	0	0	1	0	1	0	0	0
GM8730	0	0	0	0	0	0	1	0	1	0	0	0
NEURL3	0	0	0	0	0	0	1	0	1	0	0	0
ITGB2	0	0	0	0	0	0	1	0	1	0	0	0
GM6264	0	0	0	0	0	0	1	0	1	0	0	0
LRRC32	0	0	0	0	0	0	1	0	1	0	0	0
SAMHD1	0	0	0	0	0	0	1	0	1	0	0	0
SCIMP	0	0	0	0	0	0	1	0	1	0	0	0
IER5	0	0	0	0	0	0	1	0	1	0	0	0
H2-EB1	0	0	0	0	0	0	1	0	1	0	0	0
PTPRJ	0	0	0	0	0	0	1	0	1	0	0	0
LY6D	0	0	0	0	0	0	1	0	1	0	0	0
HSD17B14	0	0	0	0	0	0	1	0	1	0	0	0
SMAP2	0	0	0	0	0	0	1	0	1	0	0	0
HIVEP1	0	0	0	0	0	0	1	0	1	0	0	0
RHOF	0	0	0	0	0	0	1	0	1	0	0	0
CKB	0	0	0	0	0	0	1	0	1	0	0	0
HSD17B11	0	0	0	0	0	0	1	0	1	0	0	0
LRRC25	0	0	0	0	0	0	1	0	1	0	0	0
ITGB7	0	0	0	0	0	0	1	0	1	0	0	0
NFKBID	0	0	0	0	0	0	1	0	1	0	0	0
CSPRS	0	0	0	0	0	0	1	0	1	0	0	0
MVB12B	0	0	0	0	0	0	1	0	1	0	0	0
CCR1	0	0	0	0	0	0	1	0	1	0	0	0
FGF2	0	0	0	0	0	0	1	0	1	0	0	0
H2-AB1	0	0	0	0	0	0	1	0	1	0	0	0
S100A10	0	0	0	0	0	0	1	0	1	0	0	0
PLB1	0	0	0	0	0	0	1	0	1	0	0	0
TNFAIP8L2	0	0	0	0	0	0	1	0	1	0	0	0
STK17B	0	0	0	0	0	0	1	0	1	0	0	0
CSF2RB2	0	0	0	0	0	0	1	0	1	0	0	0
TLN1	0	0	0	0	0	0	1	0	1	0	0	0
PIK3R5	0	0	0	0	0	0	1	0	1	0	0	0
MT-ND4L	0	0	0	0	0	0	1	0	1	0	0	0
ANTXR1	0	0	0	0	0	0	1	0	1	0	0	0
APH1C	0	0	0	0	0	0	1	0	1	0	0	0
CD79B	0	0	0	0	0	0	1	0	1	0	0	0
GM18342	0	0	0	0	0	0	1	0	1	0	0	0
PTGER4	0	0	0	0	0	0	1	0	1	0	0	0
NAPSA	0	0	0	0	0	0	1	0	1	0	0	0
PIRA2	0	0	0	0	0	0	1	0	1	0	0	0
CEMIP	0	0	0	0	0	0	1	0	1	0	0	0
PLA2G7	0	0	0	0	0	0	1	0	1	0	0	0
LCP2	0	0	0	0	0	0	1	0	1	0	0	0
ATP6V0A1	0	0	0	0	0	0	1	0	1	0	0	0
SIGLECH	0	0	0	0	0	0	1	0	1	0	0	0
CD300LD	0	0	0	0	0	0	1	0	1	0	0	0
GM7609	0	0	0	0	0	0	1	0	1	0	0	0
H2-DMB2	0	0	0	0	0	0	1	0	1	0	0	0
ACOT1	0	0	0	0	0	0	1	0	1	0	0	0
GJA1	0	0	0	0	0	0	1	0	1	0	0	0
BTG1	0	0	0	0	0	0	1	0	1	0	0	0
RCAN2	0	0	0	0	0	0	1	0	1	0	0	0
WFDC17	0	0	0	0	0	0	1	0	1	0	0	0
SEMA4B	0	0	0	0	0	0	1	0	1	0	0	0
TXNDC16	0	0	0	0	0	0	1	0	1	0	0	0
SCPEP1	0	0	0	0	0	0	1	0	1	0	0	0
SRXN1	0	0	0	0	0	0	1	0	1	0	0	0
SLFN2	0	0	0	0	0	0	1	0	1	0	0	0
SLC27A4	0	0	0	0	0	0	1	0	1	0	0	0
SCARB2	0	0	0	0	0	0	1	0	1	0	0	0
PTAFR	0	0	0	0	0	0	1	0	1	0	0	0
LY6E	0	0	0	0	0	0	1	0	1	0	0	0
IRF8	0	0	0	0	0	0	1	0	1	0	0	0
TBC1D9	0	0	0	0	0	0	1	0	1	0	0	0
PGPEP1	0	0	0	0	0	0	1	0	1	0	0	0
MARCH1	0	0	0	0	0	0	1	0	1	0	0	0
SHISA5	0	0	0	0	0	0	1	0	1	0	0	0
CLEC2I	0	0	0	0	0	0	1	0	0	1	0	0
LMO7	0	0	0	0	0	0	1	0	0	1	0	0
PAM	0	0	0	0	0	0	1	0	0	1	0	0
HDAC11	0	0	0	0	0	0	1	0	0	1	0	0
PDE10A	0	0	0	0	0	0	1	0	0	1	0	0
SEC14L2	0	0	0	0	0	0	1	0	0	1	0	0
PLEKHG1	0	0	0	0	0	0	1	0	0	1	0	0
LBP	0	0	0	0	0	0	1	0	0	1	0	0
REC8	0	0	0	0	0	0	1	0	0	1	0	0
BIRC3	0	0	0	0	0	0	1	0	0	0	1	0
RNF11	0	0	0	0	0	0	1	0	0	0	1	0
SGSM1	0	0	0	0	0	0	1	0	0	0	1	0
AMOTL2	0	0	0	0	0	0	1	0	0	0	0	1
UBE2H	0	0	0	0	0	0	1	0	0	0	0	1
IFFO2	0	0	0	0	0	0	1	0	0	0	0	1
MR1	0	0	0	0	0	0	1	0	0	0	0	1
UHRF1BP1	0	0	0	0	0	0	1	0	0	0	0	1
SNRK	0	0	0	0	0	0	1	0	0	0	0	1
SPHK2	0	0	0	0	0	0	1	0	0	0	0	1
ZFP592	0	0	0	0	0	0	1	0	0	0	0	1
SIDT2	0	0	0	0	0	0	1	0	0	0	0	1
SNAP47	0	0	0	0	0	0	1	0	0	0	0	1
SPINT2	0	0	0	0	0	0	1	0	0	0	0	1
CMPK2	0	0	0	0	0	0	0	1	1	0	0	0
MAD2L1	0	0	0	0	0	0	0	1	1	0	0	0
CYP51	0	0	0	0	0	0	0	1	1	0	0	0
CHCHD10	0	0	0	0	0	0	0	1	1	0	0	0
IFI27L2A	0	0	0	0	0	0	0	1	1	0	0	0
TPM4	0	0	0	0	0	0	0	1	1	0	0	0
VPREB3	0	0	0	0	0	0	0	1	1	0	0	0
ORC1	0	0	0	0	0	0	0	1	0	1	0	0
PRPF3	0	0	0	0	0	0	0	1	0	1	0	0
CLIC5	0	0	0	0	0	0	0	1	0	1	0	0
HMGXB4	0	0	0	0	0	0	0	1	0	1	0	0
2610020H08RIK	0	0	0	0	0	0	0	1	0	1	0	0
LRP8	0	0	0	0	0	0	0	1	0	1	0	0
MPHOSPH9	0	0	0	0	0	0	0	1	0	1	0	0
PITPNC1	0	0	0	0	0	0	0	1	0	1	0	0
DNASE1	0	0	0	0	0	0	0	1	0	1	0	0
ARVCF	0	0	0	0	0	0	0	1	0	1	0	0
GP6	0	0	0	0	0	0	0	1	0	1	0	0
3110057O12RIK	0	0	0	0	0	0	0	1	0	1	0	0
RBMX	0	0	0	0	0	0	0	1	0	1	0	0
CBFA2T2	0	0	0	0	0	0	0	1	0	1	0	0
RASGEF1A	0	0	0	0	0	0	0	1	0	1	0	0
KAT2B	0	0	0	0	0	0	0	1	0	1	0	0
JADE3	0	0	0	0	0	0	0	1	0	1	0	0
HSPA4L	0	0	0	0	0	0	0	1	0	1	0	0
ZFP280C	0	0	0	0	0	0	0	1	0	1	0	0
RSPH1	0	0	0	0	0	0	0	1	0	1	0	0
CTH	0	0	0	0	0	0	0	1	0	1	0	0
CEP89	0	0	0	0	0	0	0	1	0	1	0	0
FAM60A	0	0	0	0	0	0	0	1	0	1	0	0
MFSD4	0	0	0	0	0	0	0	1	0	1	0	0
RASSF6	0	0	0	0	0	0	0	1	0	1	0	0
CNST	0	0	0	0	0	0	0	1	0	1	0	0
FSTL1	0	0	0	0	0	0	0	1	0	0	1	0
COL7A1	0	0	0	0	0	0	0	1	0	0	1	0
RTEL1	0	0	0	0	0	0	0	1	0	0	1	0
CENPI	0	0	0	0	0	0	0	1	0	0	1	0
TTF2	0	0	0	0	0	0	0	1	0	0	1	0
KIF18B	0	0	0	0	0	0	0	1	0	0	1	0
ARHGAP33	0	0	0	0	0	0	0	1	0	0	1	0
PKMYT1	0	0	0	0	0	0	0	1	0	0	1	0
PPM1E	0	0	0	0	0	0	0	1	0	0	1	0
RCC1	0	0	0	0	0	0	0	1	0	0	1	0
E2F8	0	0	0	0	0	0	0	1	0	0	1	0
PHKA2	0	0	0	0	0	0	0	1	0	0	1	0
SCIN	0	0	0	0	0	0	0	1	0	0	1	0
CCND3	0	0	0	0	0	0	0	1	0	0	1	0
ASPM	0	0	0	0	0	0	0	1	0	0	1	0
B230219D22RIK	0	0	0	0	0	0	0	1	0	0	1	0
SMTNL2	0	0	0	0	0	0	0	1	0	0	0	1
SLAMF7	0	0	0	0	0	0	0	1	0	0	0	1
MRPL18	0	0	0	0	0	0	0	1	0	0	0	1
LSM5	0	0	0	0	0	0	0	1	0	0	0	1
ZMIZ1	0	0	0	0	0	0	0	1	0	0	0	1
STC2	0	0	0	0	0	0	0	1	0	0	0	1
MGARP	0	0	0	0	0	0	0	1	0	0	0	1
PGK1-RS7	0	0	0	0	0	0	0	1	0	0	0	1
HNRNPA3	0	0	0	0	0	0	0	1	0	0	0	1
CXCR4	0	0	0	0	0	0	0	0	1	0	1	0
NT5E	0	0	0	0	0	0	0	0	1	0	1	0
FMNL1	0	0	0	0	0	0	0	0	1	0	1	0
CEP83	0	0	0	0	0	0	0	0	1	0	1	0
CORO1A	0	0	0	0	0	0	0	0	1	0	1	0
HAAO	0	0	0	0	0	0	0	0	1	0	1	0
LHX2	0	0	0	0	0	0	0	0	1	0	1	0
DENND1A	0	0	0	0	0	0	0	0	1	0	1	0
APOF	0	0	0	0	0	0	0	0	1	0	1	0
VAMP8	0	0	0	0	0	0	0	0	1	0	1	0
GOLM1	0	0	0	0	0	0	0	0	1	0	1	0
TCEANC2	0	0	0	0	0	0	0	0	1	0	0	1
WNK2	0	0	0	0	0	0	0	0	0	1	0	1
PPT2	0	0	0	0	0	0	0	0	0	1	0	1
RRM2B	0	0	0	0	0	0	0	0	0	1	0	1
RAB25	0	0	0	0	0	0	0	0	0	1	0	1
KCNF1	0	0	0	0	0	0	0	0	0	1	0	1
RAPGEF3	0	0	0	0	0	0	0	0	0	1	0	1
DECR1	1	0	0	0	0	0	0	0	0	0	0	0
RPS18	1	0	0	0	0	0	0	0	0	0	0	0
CXX1C	1	0	0	0	0	0	0	0	0	0	0	0
FAM134B	1	0	0	0	0	0	0	0	0	0	0	0
FGR	1	0	0	0	0	0	0	0	0	0	0	0
MREG	1	0	0	0	0	0	0	0	0	0	0	0
GM12854	1	0	0	0	0	0	0	0	0	0	0	0
VWA5A	1	0	0	0	0	0	0	0	0	0	0	0
AP3M2	1	0	0	0	0	0	0	0	0	0	0	0
MTMR14	1	0	0	0	0	0	0	0	0	0	0	0
SLC9A9	1	0	0	0	0	0	0	0	0	0	0	0
AHR	1	0	0	0	0	0	0	0	0	0	0	0
RSU1	1	0	0	0	0	0	0	0	0	0	0	0
TJP3	1	0	0	0	0	0	0	0	0	0	0	0
TSTD3	1	0	0	0	0	0	0	0	0	0	0	0
BC051226	1	0	0	0	0	0	0	0	0	0	0	0
TTC3	1	0	0	0	0	0	0	0	0	0	0	0
SLC38A9	1	0	0	0	0	0	0	0	0	0	0	0
JAK2	1	0	0	0	0	0	0	0	0	0	0	0
GPR174	1	0	0	0	0	0	0	0	0	0	0	0
XKRX	1	0	0	0	0	0	0	0	0	0	0	0
EHD2	1	0	0	0	0	0	0	0	0	0	0	0
NFAT5	1	0	0	0	0	0	0	0	0	0	0	0
9330133O14RIK	1	0	0	0	0	0	0	0	0	0	0	0
MEF2B	1	0	0	0	0	0	0	0	0	0	0	0
4930503L19RIK	1	0	0	0	0	0	0	0	0	0	0	0
DECR2	1	0	0	0	0	0	0	0	0	0	0	0
ARSA	1	0	0	0	0	0	0	0	0	0	0	0
ULBP1	1	0	0	0	0	0	0	0	0	0	0	0
5031414D18RIK	1	0	0	0	0	0	0	0	0	0	0	0
RALB	1	0	0	0	0	0	0	0	0	0	0	0
AMPD3	1	0	0	0	0	0	0	0	0	0	0	0
TESK1	1	0	0	0	0	0	0	0	0	0	0	0
BLVRB	1	0	0	0	0	0	0	0	0	0	0	0
GALNT10	1	0	0	0	0	0	0	0	0	0	0	0
PAQR7	1	0	0	0	0	0	0	0	0	0	0	0
BRI3BP	1	0	0	0	0	0	0	0	0	0	0	0
SLC12A7	1	0	0	0	0	0	0	0	0	0	0	0
CTNNA1	1	0	0	0	0	0	0	0	0	0	0	0
SNORA41	1	0	0	0	0	0	0	0	0	0	0	0
CNPY3	1	0	0	0	0	0	0	0	0	0	0	0
CEP63	1	0	0	0	0	0	0	0	0	0	0	0
TACC1	1	0	0	0	0	0	0	0	0	0	0	0
BC026585	1	0	0	0	0	0	0	0	0	0	0	0
RPS4L	1	0	0	0	0	0	0	0	0	0	0	0
AA388235	1	0	0	0	0	0	0	0	0	0	0	0
GM15753	1	0	0	0	0	0	0	0	0	0	0	0
B630005N14RIK	1	0	0	0	0	0	0	0	0	0	0	0
UPB1	1	0	0	0	0	0	0	0	0	0	0	0
RNASET2B	1	0	0	0	0	0	0	0	0	0	0	0
AGL	1	0	0	0	0	0	0	0	0	0	0	0
1700049G17RIK	1	0	0	0	0	0	0	0	0	0	0	0
GIMAP9	1	0	0	0	0	0	0	0	0	0	0	0
GDF11	1	0	0	0	0	0	0	0	0	0	0	0
SDC3	1	0	0	0	0	0	0	0	0	0	0	0
CAMTA2	1	0	0	0	0	0	0	0	0	0	0	0
RASGRP4	1	0	0	0	0	0	0	0	0	0	0	0
RGS12	1	0	0	0	0	0	0	0	0	0	0	0
LRCH1	1	0	0	0	0	0	0	0	0	0	0	0
A530040E14RIK	1	0	0	0	0	0	0	0	0	0	0	0
MARCKSL1	1	0	0	0	0	0	0	0	0	0	0	0
FAM168A	1	0	0	0	0	0	0	0	0	0	0	0
ZFP516	1	0	0	0	0	0	0	0	0	0	0	0
1110051M20RIK	1	0	0	0	0	0	0	0	0	0	0	0
SNX8	1	0	0	0	0	0	0	0	0	0	0	0
GM15848	1	0	0	0	0	0	0	0	0	0	0	0
PPP1R21	1	0	0	0	0	0	0	0	0	0	0	0
TUBGCP5	1	0	0	0	0	0	0	0	0	0	0	0
DMWD	1	0	0	0	0	0	0	0	0	0	0	0
CTSO	1	0	0	0	0	0	0	0	0	0	0	0
MIR5107	1	0	0	0	0	0	0	0	0	0	0	0
ARHGAP24	1	0	0	0	0	0	0	0	0	0	0	0
H2-OB	1	0	0	0	0	0	0	0	0	0	0	0
SPRED2	1	0	0	0	0	0	0	0	0	0	0	0
PLA2G12A	1	0	0	0	0	0	0	0	0	0	0	0
RSF1	1	0	0	0	0	0	0	0	0	0	0	0
NCOA7	1	0	0	0	0	0	0	0	0	0	0	0
LONRF1	1	0	0	0	0	0	0	0	0	0	0	0
ZSCAN20	1	0	0	0	0	0	0	0	0	0	0	0
NOXRED1	1	0	0	0	0	0	0	0	0	0	0	0
LBH	1	0	0	0	0	0	0	0	0	0	0	0
DYNLT3	1	0	0	0	0	0	0	0	0	0	0	0
PAX5	1	0	0	0	0	0	0	0	0	0	0	0
AKT3	1	0	0	0	0	0	0	0	0	0	0	0
TRIM5	1	0	0	0	0	0	0	0	0	0	0	0
TMEM206	1	0	0	0	0	0	0	0	0	0	0	0
CHST3	1	0	0	0	0	0	0	0	0	0	0	0
NAIP2	1	0	0	0	0	0	0	0	0	0	0	0
BID	1	0	0	0	0	0	0	0	0	0	0	0
MALT1	1	0	0	0	0	0	0	0	0	0	0	0
ATXN7L1	1	0	0	0	0	0	0	0	0	0	0	0
MTM1	1	0	0	0	0	0	0	0	0	0	0	0
E130311K13RIK	1	0	0	0	0	0	0	0	0	0	0	0
4933412E12RIK	1	0	0	0	0	0	0	0	0	0	0	0
PTPRE	1	0	0	0	0	0	0	0	0	0	0	0
IRF2BP2	1	0	0	0	0	0	0	0	0	0	0	0
SLX1B	1	0	0	0	0	0	0	0	0	0	0	0
STRADB	1	0	0	0	0	0	0	0	0	0	0	0
DIRC2	1	0	0	0	0	0	0	0	0	0	0	0
ARHGAP17	1	0	0	0	0	0	0	0	0	0	0	0
MAP3K5	1	0	0	0	0	0	0	0	0	0	0	0
CIB2	1	0	0	0	0	0	0	0	0	0	0	0
ARHGEF12	1	0	0	0	0	0	0	0	0	0	0	0
SLC16A7	1	0	0	0	0	0	0	0	0	0	0	0
B430306N03RIK	1	0	0	0	0	0	0	0	0	0	0	0
PLTP	1	0	0	0	0	0	0	0	0	0	0	0
TBC1D5	1	0	0	0	0	0	0	0	0	0	0	0
DOCK8	1	0	0	0	0	0	0	0	0	0	0	0
GM6436	1	0	0	0	0	0	0	0	0	0	0	0
HSPBAP1	1	0	0	0	0	0	0	0	0	0	0	0
SLC15A4	1	0	0	0	0	0	0	0	0	0	0	0
GM19980	1	0	0	0	0	0	0	0	0	0	0	0
PGAP2	1	0	0	0	0	0	0	0	0	0	0	0
TIPARP	1	0	0	0	0	0	0	0	0	0	0	0
LRRC75A	1	0	0	0	0	0	0	0	0	0	0	0
HMGN3	1	0	0	0	0	0	0	0	0	0	0	0
BCL9	1	0	0	0	0	0	0	0	0	0	0	0
LIPE	1	0	0	0	0	0	0	0	0	0	0	0
SERPINB6B	1	0	0	0	0	0	0	0	0	0	0	0
PACS2	1	0	0	0	0	0	0	0	0	0	0	0
WDR5B	1	0	0	0	0	0	0	0	0	0	0	0
BTNL1	1	0	0	0	0	0	0	0	0	0	0	0
SH3BGRL	1	0	0	0	0	0	0	0	0	0	0	0
SYNGR2	1	0	0	0	0	0	0	0	0	0	0	0
PPM1M	1	0	0	0	0	0	0	0	0	0	0	0
RASA4	1	0	0	0	0	0	0	0	0	0	0	0
VANGL2	1	0	0	0	0	0	0	0	0	0	0	0
EGR2	1	0	0	0	0	0	0	0	0	0	0	0
PLEKHG3	1	0	0	0	0	0	0	0	0	0	0	0
SHANK1	1	0	0	0	0	0	0	0	0	0	0	0
ZFP85	1	0	0	0	0	0	0	0	0	0	0	0
SLC30A4	1	0	0	0	0	0	0	0	0	0	0	0
LOC100503956	1	0	0	0	0	0	0	0	0	0	0	0
ARRB1	1	0	0	0	0	0	0	0	0	0	0	0
RCAN3	1	0	0	0	0	0	0	0	0	0	0	0
SUN2	1	0	0	0	0	0	0	0	0	0	0	0
TAGAP1	1	0	0	0	0	0	0	0	0	0	0	0
HAVCR1	1	0	0	0	0	0	0	0	0	0	0	0
LASP1	1	0	0	0	0	0	0	0	0	0	0	0
GM15354	1	0	0	0	0	0	0	0	0	0	0	0
FBXL19	1	0	0	0	0	0	0	0	0	0	0	0
EML2	1	0	0	0	0	0	0	0	0	0	0	0
L1CAM	1	0	0	0	0	0	0	0	0	0	0	0
ZBTB37	1	0	0	0	0	0	0	0	0	0	0	0
FCER2A	1	0	0	0	0	0	0	0	0	0	0	0
PRKAR2B	1	0	0	0	0	0	0	0	0	0	0	0
MOV10	1	0	0	0	0	0	0	0	0	0	0	0
PECAM1	1	0	0	0	0	0	0	0	0	0	0	0
B3GNT8	1	0	0	0	0	0	0	0	0	0	0	0
UVRAG	1	0	0	0	0	0	0	0	0	0	0	0
INPP4B	1	0	0	0	0	0	0	0	0	0	0	0
ZSCAN2	1	0	0	0	0	0	0	0	0	0	0	0
GNPDA2	1	0	0	0	0	0	0	0	0	0	0	0
PLBD1	1	0	0	0	0	0	0	0	0	0	0	0
PPM1L	1	0	0	0	0	0	0	0	0	0	0	0
RABEP1	1	0	0	0	0	0	0	0	0	0	0	0
CDK5R1	1	0	0	0	0	0	0	0	0	0	0	0
SLC41A2	1	0	0	0	0	0	0	0	0	0	0	0
A730063M14RIK	1	0	0	0	0	0	0	0	0	0	0	0
CAMK1D	1	0	0	0	0	0	0	0	0	0	0	0
AFMID	1	0	0	0	0	0	0	0	0	0	0	0
MYO7A	1	0	0	0	0	0	0	0	0	0	0	0
ARHGEF6	1	0	0	0	0	0	0	0	0	0	0	0
PTBP2	1	0	0	0	0	0	0	0	0	0	0	0
PARP3	1	0	0	0	0	0	0	0	0	0	0	0
MAP2K1	1	0	0	0	0	0	0	0	0	0	0	0
PNO1	1	0	0	0	0	0	0	0	0	0	0	0
SFT2D1	1	0	0	0	0	0	0	0	0	0	0	0
IFT57	1	0	0	0	0	0	0	0	0	0	0	0
NAGK	1	0	0	0	0	0	0	0	0	0	0	0
ZKSCAN7	1	0	0	0	0	0	0	0	0	0	0	0
ITPRIP	1	0	0	0	0	0	0	0	0	0	0	0
ST8SIA6	1	0	0	0	0	0	0	0	0	0	0	0
PKD2L2	1	0	0	0	0	0	0	0	0	0	0	0
WDSUB1	1	0	0	0	0	0	0	0	0	0	0	0
GLTP	1	0	0	0	0	0	0	0	0	0	0	0
PRKRA	1	0	0	0	0	0	0	0	0	0	0	0
GM1966	1	0	0	0	0	0	0	0	0	0	0	0
CASP6	1	0	0	0	0	0	0	0	0	0	0	0
GM4610	1	0	0	0	0	0	0	0	0	0	0	0
EPS8	1	0	0	0	0	0	0	0	0	0	0	0
CCDC64	1	0	0	0	0	0	0	0	0	0	0	0
CECR2	1	0	0	0	0	0	0	0	0	0	0	0
SIPA1	1	0	0	0	0	0	0	0	0	0	0	0
PCBP4	1	0	0	0	0	0	0	0	0	0	0	0
IFT140	1	0	0	0	0	0	0	0	0	0	0	0
NLRP10	1	0	0	0	0	0	0	0	0	0	0	0
SLAMF1	1	0	0	0	0	0	0	0	0	0	0	0
ATG10	1	0	0	0	0	0	0	0	0	0	0	0
ABI2	1	0	0	0	0	0	0	0	0	0	0	0
TTC7	1	0	0	0	0	0	0	0	0	0	0	0
RHOBTB2	1	0	0	0	0	0	0	0	0	0	0	0
IL27RA	1	0	0	0	0	0	0	0	0	0	0	0
PGM2L1	1	0	0	0	0	0	0	0	0	0	0	0
ECE1	1	0	0	0	0	0	0	0	0	0	0	0
SNN	1	0	0	0	0	0	0	0	0	0	0	0
OAS1A	1	0	0	0	0	0	0	0	0	0	0	0
TOR1AIP1	1	0	0	0	0	0	0	0	0	0	0	0
PAFAH1B3	1	0	0	0	0	0	0	0	0	0	0	0
TNF	1	0	0	0	0	0	0	0	0	0	0	0
GRM6	1	0	0	0	0	0	0	0	0	0	0	0
SPAG9	1	0	0	0	0	0	0	0	0	0	0	0
PQLC2	1	0	0	0	0	0	0	0	0	0	0	0
CCDC90B	1	0	0	0	0	0	0	0	0	0	0	0
HPGDS	1	0	0	0	0	0	0	0	0	0	0	0
TRAPPC5	1	0	0	0	0	0	0	0	0	0	0	0
DNMT3A	1	0	0	0	0	0	0	0	0	0	0	0
CD200	1	0	0	0	0	0	0	0	0	0	0	0
IL4I1	1	0	0	0	0	0	0	0	0	0	0	0
USP11	1	0	0	0	0	0	0	0	0	0	0	0
ZFP90	1	0	0	0	0	0	0	0	0	0	0	0
NET1	1	0	0	0	0	0	0	0	0	0	0	0
ACOT9	1	0	0	0	0	0	0	0	0	0	0	0
RUFY1	1	0	0	0	0	0	0	0	0	0	0	0
BIRC2	1	0	0	0	0	0	0	0	0	0	0	0
ACAA2	1	0	0	0	0	0	0	0	0	0	0	0
FCMR	1	0	0	0	0	0	0	0	0	0	0	0
PIP5K1C	1	0	0	0	0	0	0	0	0	0	0	0
BIN1	1	0	0	0	0	0	0	0	0	0	0	0
INPP5F	1	0	0	0	0	0	0	0	0	0	0	0
UBASH3B	1	0	0	0	0	0	0	0	0	0	0	0
CCR6	1	0	0	0	0	0	0	0	0	0	0	0
MYL12B	1	0	0	0	0	0	0	0	0	0	0	0
PPP3R1	1	0	0	0	0	0	0	0	0	0	0	0
PSD	1	0	0	0	0	0	0	0	0	0	0	0
CCNJ	1	0	0	0	0	0	0	0	0	0	0	0
CD99L2	1	0	0	0	0	0	0	0	0	0	0	0
LIPO1	1	0	0	0	0	0	0	0	0	0	0	0
TMED8	1	0	0	0	0	0	0	0	0	0	0	0
